disease,severity,lang,point1,point2,point3,point4,point5,point6,point7,point8,point9,point10,point11,point12,point13,point14,point15
Potato___healthy,25-50,en,Leaf appears healthy with no visible disease symptoms,Maintain balanced fertilization schedule,Ensure proper irrigation intervals,Maintain good plant spacing for airflow,Regularly inspect leaves for early disease symptoms,Remove weeds from field,Maintain soil moisture but avoid waterlogging,Apply organic compost to improve soil health,Use disease resistant seeds when available,Encourage beneficial insects in the field,Maintain field sanitation by removing plant debris,Rotate crops between seasons,Avoid excessive pesticide use,Record crop growth observations,Continue routine crop monitoring
Potato___healthy,25-50,te,ఆకు ఆరోగ్యంగా ఉంది మరియు వ్యాధి లక్షణాలు కనిపించలేదు,సరైన ఎరువుల షెడ్యూల్ కొనసాగించండి,సరైన నీటిపారుదల నిర్వహించండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,ఆకులను తరచుగా పరిశీలించండి,పొలంలో కలుపు మొక్కలను తొలగించండి,నీరు నిల్వ ఉండకుండా చూడండి,ఆర్గానిక్ కంపోస్ట్ ఉపయోగించండి,వ్యాధి నిరోధక విత్తనాలు ఉపయోగించండి,ఉపయోగకరమైన పురుగులను ప్రోత్సహించండి,పొలాన్ని శుభ్రంగా ఉంచండి,పంటల మార్పిడి చేయండి,అవసరం లేని పెస్టిసైడ్లను నివారించండి,పంట వృద్ధిని నమోదు చేయండి,పంటను తరచుగా పరిశీలించండి
Potato___healthy,50-75,en,Leaf appears healthy with no visible disease symptoms,Maintain balanced fertilization schedule,Ensure proper irrigation intervals,Maintain good plant spacing for airflow,Regularly inspect leaves for early disease symptoms,Remove weeds from field,Maintain soil moisture but avoid waterlogging,Apply organic compost to improve soil health,Use disease resistant seeds when available,Encourage beneficial insects in the field,Maintain field sanitation by removing plant debris,Rotate crops between seasons,Avoid excessive pesticide use,Record crop growth observations,Continue routine crop monitoring
Potato___healthy,50-75,te,ఆకు ఆరోగ్యంగా ఉంది మరియు వ్యాధి లక్షణాలు కనిపించలేదు,సరైన ఎరువుల షెడ్యూల్ కొనసాగించండి,సరైన నీటిపారుదల నిర్వహించండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,ఆకులను తరచుగా పరిశీలించండి,పొలంలో కలుపు మొక్కలను తొలగించండి,నీరు నిల్వ ఉండకుండా చూడండి,ఆర్గానిక్ కంపోస్ట్ ఉపయోగించండి,వ్యాధి నిరోధక విత్తనాలు ఉపయోగించండి,ఉపయోగకరమైన పురుగులను ప్రోత్సహించండి,పొలాన్ని శుభ్రంగా ఉంచండి,పంటల మార్పిడి చేయండి,అవసరం లేని పెస్టిసైడ్లను నివారించండి,పంట వృద్ధిని నమోదు చేయండి,పంటను తరచుగా పరిశీలించండి
Potato___healthy,75-100,en,Leaf appears healthy with no visible disease symptoms,Maintain balanced fertilization schedule,Ensure proper irrigation intervals,Maintain good plant spacing for airflow,Regularly inspect leaves for early disease symptoms,Remove weeds from field,Maintain soil moisture but avoid waterlogging,Apply organic compost to improve soil health,Use disease resistant seeds when available,Encourage beneficial insects in the field,Maintain field sanitation by removing plant debris,Rotate crops between seasons,Avoid excessive pesticide use,Record crop growth observations,Continue routine crop monitoring
Potato___healthy,75-100,te,ఆకు ఆరోగ్యంగా ఉంది మరియు వ్యాధి లక్షణాలు కనిపించలేదు,సరైన ఎరువుల షెడ్యూల్ కొనసాగించండి,సరైన నీటిపారుదల నిర్వహించండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,ఆకులను తరచుగా పరిశీలించండి,పొలంలో కలుపు మొక్కలను తొలగించండి,నీరు నిల్వ ఉండకుండా చూడండి,ఆర్గానిక్ కంపోస్ట్ ఉపయోగించండి,వ్యాధి నిరోధక విత్తనాలు ఉపయోగించండి,ఉపయోగకరమైన పురుగులను ప్రోత్సహించండి,పొలాన్ని శుభ్రంగా ఉంచండి,పంటల మార్పిడి చేయండి,అవసరం లేని పెస్టిసైడ్లను నివారించండి,పంట వృద్ధిని నమోదు చేయండి,పంటను తరచుగా పరిశీలించండి
Tomato_Bacterial_spot,0-25,en,Symptoms of Tomato Bacterial spot are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Bacterial_spot,0-25,te,Tomato Bacterial spot లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Bacterial_spot,25-50,en,Moderate infection of Tomato Bacterial spot observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Bacterial_spot,25-50,te,Tomato Bacterial spot వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Bacterial_spot,50-75,en,Severe infection of Tomato Bacterial spot affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Bacterial_spot,50-75,te,Tomato Bacterial spot వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Bacterial_spot,75-100,en,Critical outbreak of Tomato Bacterial spot detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Bacterial_spot,75-100,te,Tomato Bacterial spot వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Early_blight,0-25,en,Symptoms of Tomato Early blight are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Early_blight,0-25,te,Tomato Early blight లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Early_blight,25-50,en,Moderate infection of Tomato Early blight observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Early_blight,25-50,te,Tomato Early blight వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Early_blight,50-75,en,Severe infection of Tomato Early blight affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Early_blight,50-75,te,Tomato Early blight వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Early_blight,75-100,en,Critical outbreak of Tomato Early blight detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Early_blight,75-100,te,Tomato Early blight వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Late_blight,0-25,en,Symptoms of Tomato Late blight are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Late_blight,0-25,te,Tomato Late blight లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Late_blight,25-50,en,Moderate infection of Tomato Late blight observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Late_blight,25-50,te,Tomato Late blight వ్యాధి కొన్ని ఆకులకు వ్యాపించినట్లు కనిపిస్తుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Late_blight,50-75,en,Severe infection of Tomato Late blight affecting many leaves,Inspect nearby plants to evaluate spread,Remove and destroy heavily infected plant parts,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Use systemic fungicide according to agricultural guidelines,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Late_blight,50-75,te,Tomato Late blight వ్యాధి తీవ్రంగా వ్యాపిస్తోంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,బాగా ప్రభావితమైన మొక్క భాగాలను తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Late_blight,75-100,en,Critical outbreak of Tomato Late blight detected in crop,Inspect nearby plants to evaluate spread,Uproot severely infected plants to prevent spread,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply strong systemic fungicide or pesticide program,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Immediate consultation with agriculture expert is strongly recommended,Maintain regular monitoring every 2–3 days
Tomato_Late_blight,75-100,te,Tomato Late blight వ్యాధి తీవ్రమైన స్థాయికి చేరుకుంది,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,చాలా ప్రభావితమైన మొక్కలను పూర్తిగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Leaf_Mold,0-25,en,Symptoms of Tomato Leaf Mold are starting to appear on leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply recommended fungicide or pesticide if needed,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
Tomato_Leaf_Mold,0-25,te,Tomato Leaf Mold లక్షణాలు ఆకులపై కనిపించడం ప్రారంభమయ్యాయి,చుట్టుపక్కల మొక్కలను పరిశీలించి వ్యాధి వ్యాప్తిని చూడండి,ప్రభావిత ఆకులను జాగ్రత్తగా తొలగించండి,ఆకులపై పై నుంచి నీరు పోయడం నివారించండి,మొక్కల మధ్య గాలి ప్రసరణ పెంచండి,మొక్కల మధ్య సరైన దూరం ఉంచండి,అవసరమైతే సరైన ఫంగిసైడ్ లేదా పెస్టిసైడ్ ఉపయోగించండి,సాధ్యమైనప్పుడు నీమ్ ఆయిల్ వంటి ఆర్గానిక్ నియంత్రణ విధానాలు ఉపయోగించండి,నీరు నిల్వ ఉండకుండా నేల డ్రైనేజ్ మెరుగుపరచండి,పొలంలో మొక్కల అవశేషాలను తొలగించండి,సంఖ్యారోగ్యమైన మొక్కలకు పరికరాలను శుభ్రపరచి ఉపయోగించండి,తేమ మరియు ఉష్ణోగ్రత పరిస్థితులను గమనించండి,పంటల మార్పిడి పద్ధతులు పాటించండి,వ్యాధి పెరిగితే వ్యవసాయ అధికారిని సంప్రదించండి,ప్రతి 2–3 రోజులకు పంటను పరిశీలించండి
Tomato_Leaf_Mold,25-50,en,Moderate infection of Tomato Leaf Mold observed on several leaves,Inspect nearby plants to evaluate spread,Remove infected leaves carefully,Avoid overhead irrigation to reduce moisture,Improve airflow between plants,Maintain proper plant spacing,Apply preventive fungicide spray such as Mancozeb or Copper oxychloride,Use organic control methods like neem oil when possible,Improve soil drainage and avoid water stagnation,Remove plant debris from the field,Disinfect tools after handling infected plants,Monitor humidity and temperature conditions,Follow crop rotation practices,Consult agricultural extension officer if spread increases,Maintain regular monitoring every 2–3 days
